id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ja-n3-00001,あっ,あっ,"1. ah; oh (expression of surprise, recollection, etc.) | 2. hey! (used to get someone's attention)",interjection (kandoushi),general-language,jmdict-waller,JMdict:2394370;waller-n3.csv:line-2,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00002,愛,あい,1. love; affection; care | 2. attachment; craving; desire [Buddhism] | 3. agape [Christianity] | 4. Ireland [abbreviation],"noun (common) (futsuumeishi); noun, used as a suffix",general-language,jmdict-waller,JMdict:1150410;waller-n3.csv:line-3,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00004,愛情,あいじょう,1. love; affection,noun (common) (futsuumeishi); nouns which may take the genitive case particle 'no',general-language,jmdict-waller,JMdict:1150860;waller-n3.csv:line-5,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00005,合図,あいず,1. sign; signal; cue,noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; transitive verb; intransitive verb,general-language,jmdict-waller,JMdict:1284930;waller-n3.csv:line-6,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00006,アイスクリーム,アイスクリーム,"1. ice cream [food, cooking]",noun (common) (futsuumeishi),food-and-dining,jmdict-waller,JMdict:1013980;waller-n3.csv:line-7,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00007,愛する,あいする,1. to love,suru verb - special class; transitive verb,general-language,jmdict-waller,JMdict:1150450;waller-n3.csv:line-8,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00008,相手,あいて,"1. companion; partner; company | 2. other party; addressee; counterparty | 3. opponent (sports, etc.)",noun (common) (futsuumeishi),study-work-and-communication,jmdict-waller,JMdict:1401000;waller-n3.csv:line-9,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00009,あいにく,あいにく,"1. unfortunately; sorry, but ... [word usually written using kana alone]",adjectival nouns or quasi-adjectives (keiyodoshi); adverb (fukushi); noun (common) (futsuumeishi); nouns which may take the genitive case particle 'no',general-language,jmdict-waller,JMdict:1379210;waller-n3.csv:line-10,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00010,アイロン,アイロン,1. iron (for pressing clothes) | 2. hair iron; hair tong; curling tong,noun (common) (futsuumeishi),home-and-daily-life,jmdict-waller,JMdict:1014590;waller-n3.csv:line-11,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00011,アウト,アウト,"1. out (of a ball; in tennis, etc.); outside the line [sports] | 2. out; putout [baseball] | 3. outer; external; outside | 4. exit; exit here (on (parking) exit signs) | 5. front nine [golf] | 6. no good; unacceptable; out of line; over; finished; disqualified | 7. check-out time [abbreviation]",noun (common) (futsuumeishi); noun or verb acting prenominally; unclassified; adjectival nouns or quasi-adjectives (keiyodoshi),general-language,jmdict-waller,JMdict:1014680;waller-n3.csv:line-12,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00012,明かり,あかり,1. light; glow; gleam | 2. (a) light; lights; lamp | 3. proof (of innocence) [dated term],noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1586210;waller-n3.csv:line-13,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00013,空き,あき,1. space; room; gap; emptiness | 2. vacancy; opening; empty seat | 3. free time; time to spare | 4. disuse; unused thing,noun (common) (futsuumeishi); nouns which may take the genitive case particle 'no',home-and-daily-life,jmdict-waller,JMdict:1609010;waller-n3.csv:line-14,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00014,明らか,あきらか,1. clear; obvious; evident; plain; definite | 2. bright; light,adjectival nouns or quasi-adjectives (keiyodoshi),general-language,jmdict-waller,JMdict:1532310;waller-n3.csv:line-15,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00015,諦める,あきらめる,"1. to give up; to abandon (hope, plans); to resign oneself (to)",Ichidan verb; transitive verb,thought-and-feeling,jmdict-waller,JMdict:1436730;waller-n3.csv:line-16,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00016,飽きる,あきる,1. to get tired of; to tire of; to lose interest in; to grow weary of; to get fed up with; to get sick of; to become bored with | 2. to become sated; to become satiated; to have one's fill,Ichidan verb; suffix; intransitive verb,general-language,jmdict-waller,JMdict:1586250;waller-n3.csv:line-17,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00017,握手,あくしゅ,1. handshake | 2. reconciliation; joining hands; cooperation,noun (common) (futsuumeishi); noun or participle which takes the aux. verb suru; intransitive verb,general-language,jmdict-waller,JMdict:1152730;waller-n3.csv:line-18,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00018,悪魔,あくま,1. devil; demon; fiend | 2. Satan; the Devil [Christianity] | 3. Māra; evil spirits or forces that hinder one's path to enlightenment [Buddhism],noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1152510;waller-n3.csv:line-19,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00020,預ける,あずける,1. to leave (in someone's keeping); to put (in someone's care); to place (in someone's custody); to entrust (someone) with; to deposit | 2. to put (someone) in charge of; to leave (a matter) in someone's hands; to let (someone) decide | 3. to lean on; to put one's weight on,Ichidan verb; transitive verb,travel-and-places,jmdict-waller,JMdict:1544990;waller-n3.csv:line-21,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00021,汗,あせ,1. sweat; perspiration | 2. moisture; condensation | 3. gulp; oops [Internet slang],noun (common) (futsuumeishi); interjection (kandoushi),general-language,jmdict-waller,JMdict:1213060;waller-n3.csv:line-22,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00022,与える,あたえる,1. to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award | 2. to provide; to afford; to offer; to supply | 3. to assign | 4. to cause | 5. to pass (a variable to a function) [computing],Ichidan verb; transitive verb,general-language,jmdict-waller,JMdict:1544730;waller-n3.csv:line-23,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00023,辺り,あたり,1. (in the) neighbourhood; neighborhood; vicinity; nearby; surroundings | 2. around; about; or thereabouts [word usually written using kana alone] | 3. for instance; say; such as [word usually written using kana alone],"noun (common) (futsuumeishi); noun, used as a suffix; adverb (fukushi)",general-language,jmdict-waller,JMdict:1512080;waller-n3.csv:line-24,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00024,当たる,あたる,"1. to be hit; to strike | 2. to touch; to be in contact; to be affixed | 3. to be equivalent to; to be applicable; to apply to | 4. to be right on the money (of a prediction, criticism, etc.) | 5. to be selected (in a lottery, etc.); to win | 6. to be successful; to go well; to be a hit | 7. to face; to confront | 8. to lie (in the direction of) | 9. to undertake; to be assigned | 10. to be stricken (by food poisoning, heat, etc.); to be afflicted | 11. to be called on (e.g. by a teacher) | 12. to treat (esp. harshly); to lash out at | 13. to be unnecessary | 14. to be hitting well; to be on a hitting streak [baseball] | 15. to feel a bite (in fishing) | 16. (of fruit, etc.) to be bruised; to spoil | 17. to feel (something) out; to probe into; to check (i.e. by comparison) | 18. to shave | 19. to be a relative of a person; to be a ... in relation to ...; to stand in a relationship",Godan verb with 'ru' ending; intransitive verb; transitive verb,general-language,jmdict-waller,JMdict:1448810;waller-n3.csv:line-25,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00025,あちこち,あちこち,1. here and there; various places; all around; all over; everywhere; throughout [word usually written using kana alone] | 2. muddled; confused; in the wrong order; back to front [word usually written using kana alone],pronoun; adverb (fukushi); noun or participle which takes the aux. verb suru; adjectival nouns or quasi-adjectives (keiyodoshi); noun (common) (futsuumeishi); intransitive verb,general-language,jmdict-waller,JMdict:1612620;waller-n3.csv:line-26,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00026,扱う,あつかう,1. to deal with (a person); to treat; to handle; to take care of; to entertain | 2. to deal with (a problem); to handle; to manage | 3. to operate (e.g. a machine); to handle; to work | 4. to deal in; to sell | 5. to cover (a topic); to treat; to discuss; to take up | 6. to treat A as B | 7. to mediate (an argument) [archaic] | 8. to be too much for one; to find unmanageable [archaic] | 9. to gossip [archaic],Godan verb with 'u' ending; transitive verb,people-and-relationships,jmdict-waller,JMdict:1153440;waller-n3.csv:line-27,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00027,集まり,あつまり,1. gathering; meeting; assembly; collection; attendance,noun (common) (futsuumeishi),study-work-and-communication,jmdict-waller,JMdict:1609050;waller-n3.csv:line-28,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00028,当てる,あてる,1. to hit | 2. to expose | 3. to apply (e.g. patch); to put on; to put against; to hold on; to hold against | 4. to allot; to call on someone (e.g. in class) | 5. to guess (an answer) | 6. to make a hit (e.g. in a lottery),Ichidan verb; transitive verb,general-language,jmdict-waller,JMdict:1448860;waller-n3.csv:line-29,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00029,跡,あと,1. trace; tracks; mark; sign | 2. site; remains; ruins | 3. scar,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1383680;waller-n3.csv:line-30,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00030,穴,あな,"1. hole; opening; orifice; perforation | 2. pit; hollow; cavity; hole (e.g. in the ground) | 3. burrow; den; lair; holt; hole | 4. deficit; shortage; (financial) hole; loss | 5. gap (left by a missing employee, team member, etc.); vacancy; opening | 6. flaw; fault; defect; weak point; hole (in a theory, plan, etc.); loophole | 7. good place not many people know about; well-kept secret | 8. upset victory (with a large payoff); long shot; dark horse | 9. (partitioned) box (type of floor seating in a traditional Japanese theatre) (theatre jargon) | 10. hiding place; hideout [archaic]",noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1254480;waller-n3.csv:line-31,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00032,油,あぶら,1. oil,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1538590;waller-n3.csv:line-33,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00034,誤り,あやまり,1. error; mistake; slip; bug,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1271290;waller-n3.csv:line-35,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00035,粗,あら,1. remaining bony parts (of a fish after filleting) [word usually written using kana alone] | 2. flaw (esp. of a person); fault; defect [word usually written using kana alone] | 3. rice chaff | 4. rough | 5. crude; raw; natural; wild,noun (common) (futsuumeishi); prefix,food-and-dining,jmdict-waller,JMdict:1586730;waller-n3.csv:line-36,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00036,嵐,あらし,1. storm; tempest | 2. uproar; hullabaloo; storm (e.g. of protest); winds (e.g. of change) [idiomatic expression] | 3. pile of 3 cards of the same value in oicho-kabu [card games; word usually written using kana alone],noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1549340;waller-n3.csv:line-37,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00037,新た,あらた,1. new; fresh; novel,adjectival nouns or quasi-adjectives (keiyodoshi),general-language,jmdict-waller,JMdict:1361510;waller-n3.csv:line-38,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00038,あらゆる,あらゆる,1. all; every [word usually written using kana alone],pre-noun adjectival (rentaishi),general-language,jmdict-waller,JMdict:1586780;waller-n3.csv:line-39,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00039,表す,あらわす,1. to represent; to signify; to stand for | 2. to reveal; to show; to display | 3. to express | 4. to make widely known,Godan verb with 'su' ending; transitive verb,general-language,jmdict-waller,JMdict:1263490;waller-n3.csv:line-40,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00041,現れ,あらわれ,1. embodiment; manifestation; materialization; materialisation; expression; indication,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1610550;waller-n3.csv:line-42,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00042,現れる,あらわれる,"1. to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise | 2. to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)",Ichidan verb; intransitive verb,general-language,jmdict-waller,JMdict:1263510;waller-n3.csv:line-43,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00043,ありがとう,ありがとう,1. thank you; thanks [word usually written using kana alone],interjection (kandoushi),general-language,jmdict-waller,JMdict:1586820;waller-n3.csv:line-44,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00044,或,ある,1. a certain ...; some ... [word usually written using kana alone],pre-noun adjectival (rentaishi),general-language,jmdict-waller,JMdict:1586840;waller-n3.csv:line-45,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00045,あるいは,あるいは,1. or; either ... or [word usually written using kana alone] | 2. maybe; perhaps; possibly [word usually written using kana alone] | 3. some ... and others ...; sometimes ... and at other times ... [word usually written using kana alone],conjunction; adverb (fukushi),general-language,jmdict-waller,JMdict:1586850;waller-n3.csv:line-46,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00046,アルバム,アルバム,1. album,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1019450;waller-n3.csv:line-47,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00047,泡,あわ,1. bubble; foam; froth; suds; lather; head (on beer),noun (common) (futsuumeishi),health-and-body,jmdict-waller,JMdict:1517510;waller-n3.csv:line-48,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00048,合わせる,あわせる,"1. to match (rhythm, speed, etc.) | 2. to join together; to unite; to combine; to add up | 3. to face; to be opposite (someone) | 4. to compare; to check with | 5. to cause to meet (e.g. an unpleasant fate) | 6. to place together; to connect; to overlap | 7. to mix; to combine | 8. to put blade to blade; to fight",Ichidan verb; transitive verb,general-language,jmdict-waller,JMdict:1284480;waller-n3.csv:line-49,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n3-00049,哀れ,あわれ,1. pity; sorrow; grief; misery; compassion; pathos | 2. pitiable; pitiful; pathetic; miserable | 3. alack; alas,noun (common) (futsuumeishi); adjectival nouns or quasi-adjectives (keiyodoshi); interjection (kandoushi),general-language,jmdict-waller,JMdict:1150110;waller-n3.csv:line-50,Community estimate: Waller via stephenmk; not an official JLPT word list
